profile,split,degree,selected_degree,profile_reversal_family,compatible_record_triples,coefficient,coefficient_times_q,evidence_status,family,source,perron_sensitivity,perron_contribution
"[1,1,3,5]","[0,0,0,5]",10,5,"[1,1,3,5]","[[1,1,1],[1,1,3]]",0.03125,1.0,provisional_common_1_over_q_target,unresolved_balanced_frontier,../open_problem_forr4_passive_floor_consolidation_round_3/notes/high_degree_record_incidence_frontier.md,0.003298294341143234,0.00010307169816072607
"[1,1,3,5]","[0,0,1,4]",10,5,"[1,1,3,5]","[[1,1,1],[1,1,3]]",0.016272469279635413,0.5207190169483332,proved_arbitrary_upper,adjacent_cubic_slice,../open_problem_forr4_passive_floor_consolidation_round_3/notes/adjacent_balanced_cubic_slice_contraction.md,0.011868142207326947,0.00019312397947507216
"[1,1,3,5]","[0,0,2,3]",10,5,"[1,1,3,5]","[[1,1,1],[1,1,3]]",0.03125,1.0,provisional_common_1_over_q_target,unresolved_balanced_frontier,../open_problem_forr4_passive_floor_consolidation_round_3/notes/high_degree_record_incidence_frontier.md,0.00597045557398217,0.00018657673668694282
"[1,1,3,5]","[0,0,3,2]",10,5,"[1,1,3,5]","[[1,1,1],[1,1,3]]",0.025091947154681882,0.8029423089498202,proved_arbitrary_upper,whole_cubic_middle_pair,../open_problem_forr4_passive_floor_consolidation_round_3/notes/whole_cubic_middle_pair_contraction.md,0.007662709249272005,0.00019227229554442523
"[1,1,3,5]","[0,1,0,4]",10,5,"[1,1,3,5]","[[1,1,1],[1,1,3]]",0.03125,1.0,provisional_common_1_over_q_target,unresolved_balanced_frontier,../open_problem_forr4_passive_floor_consolidation_round_3/notes/high_degree_record_incidence_frontier.md,0.0062990257125413555,0.00019684455351691736
"[1,1,3,5]","[0,1,1,3]",10,5,"[1,1,3,5]","[[1,1,1],[1,1,3]]",0.042241001624907494,1.3517120519970398,proved_arbitrary_upper,adjacent_balanced_row,../open_problem_forr4_passive_floor_consolidation_round_3/notes/adjacent_balanced_row_slice_contraction.md,0.009388002450739119,0.00039655862677630667
"[1,1,3,5]","[0,1,2,2]",10,5,"[1,1,3,5]","[[1,1,1],[1,1,3]]",0.016866245903631352,0.5397198689162033,local_slice_substitution_not_arbitrary_upper,diagnostic_adjacent_slice,../open_problem_forr4_passive_floor_consolidation_round_3/notes/adjacent_cubic_quintic_record_gate.md,0.01206541047530353,0.00020349818000471896
"[1,1,3,5]","[0,1,3,1]",10,5,"[1,1,3,5]","[[1,1,1],[1,1,3]]",0.03125,1.0,provisional_common_1_over_q_target,unresolved_balanced_frontier,../open_problem_forr4_passive_floor_consolidation_round_3/notes/high_degree_record_incidence_frontier.md,0.006801806724125079,0.00021255646012890872
"[1,1,3,5]","[1,0,0,4]",10,5,"[1,1,3,5]","[[1,1,1],[1,1,3]]",0.03125,1.0,provisional_common_1_over_q_target,unresolved_balanced_frontier,../open_problem_forr4_passive_floor_consolidation_round_3/notes/high_degree_record_incidence_frontier.md,0.006801806724125079,0.00021255646012890872
"[1,1,3,5]","[1,0,1,3]",10,5,"[1,1,3,5]","[[1,1,1],[1,1,3]]",0.016866245903631352,0.5397198689162033,local_slice_substitution_not_arbitrary_upper,diagnostic_adjacent_slice,../open_problem_forr4_passive_floor_consolidation_round_3/notes/adjacent_cubic_quintic_record_gate.md,0.01206541047530353,0.00020349818000471896
