entries,size,statuses,profile_reversal_family,coefficient_min,coefficient_max,perron_sensitivity,perron_contribution
"[[[3,1,1,5],[1,1,0,3]],[[3,1,1,5],[2,0,1,2]],[[5,1,1,3],[2,1,0,2]],[[5,1,1,3],[3,0,1,1]]]",4,physical_lower_witness_substitution,"[3,1,1,5]",0.039593955294628,0.039593955294628,0.10728465187319468,0.004247823710066999
"[[[3,1,1,5],[1,0,1,3]],[[3,1,1,5],[2,1,0,2]],[[5,1,1,3],[2,0,1,2]],[[5,1,1,3],[3,1,0,1]]]",4,physical_lower_witness_substitution,"[3,1,1,5]",0.014281024204693649,0.014281024204693649,0.07179669014213168,0.0010253302697366723
"[[[1,1,5,3],[0,1,3,1]],[[1,1,5,3],[1,0,2,2]],[[3,5,1,1],[1,3,1,0]],[[3,5,1,1],[2,2,0,1]]]",4,provisional_common_1_over_q_target,"[1,1,5,3]",0.03125,0.03125,0.029979501025119357,0.0009368594070349799
"[[[1,1,5,3],[0,1,2,2]],[[1,1,5,3],[1,0,3,1]],[[3,5,1,1],[1,3,0,1]],[[3,5,1,1],[2,2,1,0]]]",4,provisional_common_1_over_q_target,"[1,1,5,3]",0.03125,0.03125,0.02776345395651881,0.0008676079361412128
"[[[1,3,5,1],[0,1,3,1]],[[1,3,5,1],[1,2,2,0]],[[1,5,3,1],[0,2,2,1]],[[1,5,3,1],[1,3,1,0]]]",4,provisional_common_1_over_q_target,"[1,3,5,1]",0.03125,0.03125,0.027704418451733045,0.0008657630766166577
"[[[1,1,3,5],[0,1,3,1]],[[1,1,3,5],[1,0,0,4]],[[5,3,1,1],[1,3,1,0]],[[5,3,1,1],[4,0,0,1]]]",4,provisional_common_1_over_q_target,"[1,1,3,5]",0.03125,0.03125,0.027207226896500323,0.0008502258405156351
"[[[1,1,3,5],[0,1,2,2]],[[1,1,3,5],[1,0,1,3]],[[5,3,1,1],[2,2,1,0]],[[5,3,1,1],[3,1,0,1]]]",4,local_slice_substitution_not_arbitrary_upper,"[1,1,3,5]",0.016866245903631352,0.016866245903631352,0.048261641901214125,0.0008139927200188758
"[[[1,1,3,5],[0,1,0,4]],[[1,1,3,5],[1,0,3,1]],[[5,3,1,1],[1,3,0,1]],[[5,3,1,1],[4,0,1,0]]]",4,provisional_common_1_over_q_target,"[1,1,3,5]",0.03125,0.03125,0.025196102850165422,0.0007873782140676694
"[[[1,3,5,1],[0,1,4,0]],[[1,3,5,1],[1,2,1,1]],[[1,5,3,1],[0,4,1,0]],[[1,5,3,1],[1,1,2,1]]]",4,provisional_common_1_over_q_target,"[1,3,5,1]",0.03125,0.03125,0.024690908045606835,0.0007715908764252136
"[[[1,1,3,5],[0,0,2,3]],[[1,1,3,5],[1,1,1,2]],[[5,3,1,1],[2,1,1,1]],[[5,3,1,1],[3,2,0,0]]]",4,provisional_common_1_over_q_target,"[1,1,3,5]",0.03125,0.03125,0.02388182229592868,0.0007463069467477713
"[[[1,1,5,3],[0,0,3,2]],[[1,1,5,3],[1,1,2,1]],[[3,5,1,1],[1,2,1,1]],[[3,5,1,1],[2,3,0,0]]]",4,provisional_common_1_over_q_target,"[1,1,5,3]",0.03125,0.03125,0.02388182229592868,0.0007463069467477713
"[[[3,3,1,5],[1,1,0,4]],[[3,3,1,5],[2,2,1,1]],[[5,1,3,3],[1,1,2,2]],[[5,1,3,3],[4,0,1,1]]]",4,provisional_common_1_over_q_target,"[3,3,1,5]",0.03125,0.03125,0.021899375404816533,0.0006843554814005167
"[[[1,1,5,3],[0,0,4,1]],[[1,1,5,3],[1,1,1,2]],[[3,5,1,1],[1,4,0,0]],[[3,5,1,1],[2,1,1,1]]]",4,provisional_common_1_over_q_target,"[1,1,5,3]",0.03125,0.03125,0.021669216426435954,0.0006771630133261236
"[[[1,1,5,3],[0,1,4,0]],[[1,1,5,3],[1,0,1,3]],[[3,5,1,1],[0,4,1,0]],[[3,5,1,1],[3,1,0,1]]]",4,provisional_common_1_over_q_target,"[1,1,5,3]",0.03125,0.03125,0.02120697699984666,0.0006627180312452081
"[[[3,1,3,5],[1,1,2,2]],[[3,1,3,5],[2,0,1,3]],[[5,3,1,3],[2,2,1,1]],[[5,3,1,3],[3,1,0,2]]]",4,provisional_common_1_over_q_target,"[3,1,3,5]",0.03125,0.03125,0.020725907402349066,0.0006476846063234083
"[[[3,1,1,7],[1,1,0,4]],[[3,1,1,7],[2,0,1,3]],[[7,1,1,3],[3,1,0,2]],[[7,1,1,3],[4,0,1,1]]]",4,provisional_common_1_over_q_target,"[3,1,1,7]",0.03125,0.03125,0.01880933458028832,0.00058779170563401
"[[[1,1,5,3],[0,1,1,3]],[[1,1,5,3],[1,0,4,0]],[[3,5,1,1],[0,4,0,1]],[[3,5,1,1],[3,1,1,0]]]",4,provisional_common_1_over_q_target,"[1,1,5,3]",0.03125,0.03125,0.016500984566985483,0.0005156557677182963
"[[[1,3,3,5],[0,2,1,3]],[[1,3,3,5],[1,1,2,2]],[[5,3,3,1],[2,2,1,1]],[[5,3,3,1],[3,1,2,0]]]",4,provisional_common_1_over_q_target,"[1,3,3,5]",0.03125,0.03125,0.016126668038797087,0.000503958376212409
"[[[1,3,5,1],[0,3,1,1]],[[1,3,5,1],[1,0,4,0]],[[1,5,3,1],[0,4,0,1]],[[1,5,3,1],[1,1,3,0]]]",4,provisional_common_1_over_q_target,"[1,3,5,1]",0.03125,0.03125,0.015343651731723843,0.0004794891166163701
"[[[1,1,5,3],[0,0,2,3]],[[1,1,5,3],[1,1,3,0]],[[3,5,1,1],[0,3,1,1]],[[3,5,1,1],[3,2,0,0]]]",4,provisional_common_1_over_q_target,"[1,1,5,3]",0.03125,0.03125,0.014840862205262048,0.000463776943914439
"[[[1,3,5,1],[0,3,2,0]],[[1,3,5,1],[1,0,3,1]],[[1,5,3,1],[0,2,3,0]],[[1,5,3,1],[1,3,0,1]]]",4,provisional_common_1_over_q_target,"[1,3,5,1]",0.03125,0.03125,0.014812811793900163,0.0004629003685593801
"[[[1,3,1,7],[0,2,1,3]],[[1,3,1,7],[1,1,0,4]],[[7,1,3,1],[3,1,2,0]],[[7,1,3,1],[4,0,1,1]]]",4,provisional_common_1_over_q_target,"[1,3,1,7]",0.03125,0.03125,0.014635397568774095,0.0004573561740241905
"[[[3,1,1,5],[0,0,0,5]],[[3,1,1,5],[3,1,1,0]],[[5,1,1,3],[0,1,1,3]],[[5,1,1,3],[5,0,0,0]]]",4,provisional_common_1_over_q_target,"[3,1,1,5]",0.03125,0.03125,0.014188305358379137,0.00044338454244934804
"[[[3,3,1,5],[0,2,1,3]],[[3,3,1,5],[3,1,0,2]],[[5,1,3,3],[2,0,1,3]],[[5,1,3,3],[3,1,2,0]]]",4,provisional_common_1_over_q_target,"[3,3,1,5]",0.03125,0.03125,0.013851166492185065,0.0004328489528807833
"[[[1,1,7,1],[0,0,4,1]],[[1,1,7,1],[1,1,3,0]],[[1,7,1,1],[0,3,1,1]],[[1,7,1,1],[1,4,0,0]]]",4,provisional_common_1_over_q_target,"[1,1,7,1]",0.03125,0.03125,0.013465884265270695,0.0004208088832897092
"[[[1,1,3,5],[0,0,0,5]],[[1,1,3,5],[1,1,3,0]],[[5,3,1,1],[0,3,1,1]],[[5,3,1,1],[5,0,0,0]]]",4,provisional_common_1_over_q_target,"[1,1,3,5]",0.03125,0.03125,0.013193177364572966,0.0004122867926429052
"[[[1,1,7,1],[0,1,3,1]],[[1,1,7,1],[1,0,4,0]],[[1,7,1,1],[0,4,0,1]],[[1,7,1,1],[1,3,1,0]]]",4,provisional_common_1_over_q_target,"[1,1,7,1]",0.03125,0.03125,0.013173496873727191,0.0004116717773039747
"[[[1,3,5,3],[0,2,3,1]],[[1,3,5,3],[1,1,2,2]],[[3,5,3,1],[1,3,2,0]],[[3,5,3,1],[2,2,1,1]]]",4,provisional_common_1_over_q_target,"[1,3,5,3]",0.03125,0.03125,0.012874662728779254,0.0004023332102743517
"[[[1,1,5,3],[0,0,5,0]],[[1,1,5,3],[1,1,0,3]],[[3,5,1,1],[0,5,0,0]],[[3,5,1,1],[3,0,1,1]]]",4,provisional_common_1_over_q_target,"[1,1,5,3]",0.03125,0.03125,0.012437499637986765,0.0003886718636870864
"[[[1,1,7,1],[0,1,4,0]],[[1,1,7,1],[1,0,3,1]],[[1,7,1,1],[0,4,1,0]],[[1,7,1,1],[1,3,0,1]]]",4,provisional_common_1_over_q_target,"[1,1,7,1]",0.03125,0.03125,0.012199728527623594,0.0003812415164882373
"[[[3,3,3,3],[1,1,2,2]],[[3,3,3,3],[2,2,1,1]]]",2,provisional_common_1_over_q_target,"[3,3,3,3]",0.03125,0.03125,0.012065403613085992,0.00037704386290893726
"[[[3,1,5,3],[1,1,2,2]],[[3,1,5,3],[2,0,3,1]],[[3,5,1,3],[1,3,0,2]],[[3,5,1,3],[2,2,1,1]]]",4,provisional_common_1_over_q_target,"[3,1,5,3]",0.03125,0.03125,0.011922983827405066,0.0003725932446064083
"[[[1,3,3,5],[0,2,3,1]],[[1,3,3,5],[1,1,0,4]],[[5,3,3,1],[1,3,2,0]],[[5,3,3,1],[4,0,1,1]]]",4,provisional_common_1_over_q_target,"[1,3,3,5]",0.03125,0.03125,0.011684112747050588,0.0003651285233453309
"[[[1,3,5,1],[0,0,4,1]],[[1,3,5,1],[1,3,1,0]],[[1,5,3,1],[0,1,3,1]],[[1,5,3,1],[1,4,0,0]]]",4,provisional_common_1_over_q_target,"[1,3,5,1]",0.03125,0.03125,0.011561314566580416,0.000361291080205638
